category;title;brand;modelSlug;brandSlug;price;oldPrice;quantity;photo;description;text;seo_title;seo_description;article;tact;power_hp;control_type;propulsion;track_width_mm;boat_type;floor_type;engine_type;engine_cc2;max_power;transmission;drive;front_susp;rear_susp;shocks;tires;wheels;track;starter;fuel_system;weight;brakes;length_width;cockpit;balloon_d;seats;max_hp;capacity;balloons_qty;rpm_range;fuel_cons;fuel_rec;trim ;leg_len ;fuel_tank ;dimensions;equipment ;char_warranty
"Квадроциклы>>>Мотовездеходы AODES;Техника";Мотовездеход AODES DESERTCROSS 1000;AODES;desertcross-1000;motovezdehody-aodes;2245000;;0;"motovezdehody-aodes\aodes-desertcross.jpg; motovezdehody-aodes\aodes-desertcross-2.jpg; motovezdehody-aodes\aodes-desertcross-3.jpg; motovezdehody-aodes\aodes-desertcross-4.jpg; motovezdehody-aodes\aodes-desertcross-5.jpg";976сс, 86 л.с., 3;"Мотовездеходы AODES DESERTCROSS — это комфортные утилитарно-туристические машины с мощным двигателем 72 л.с. и высокой надежностью для туризма и работы по хозяйству.

В этой версии модель мотовездехода имеет все необходимое для комфортных путешествий и хозяйственных работ.

Мощный двигатель, энергоемкая подвеска, алюминиевые легкосплавные диски, лебедка с тяговым усилием 2040 кг, закрытая кабина с отопителем и кондиционером, багажная площадка самосвального типа с грузоподъемностью 300 кг, зеркала заднего вида и задний бампер — достоинства этого мотовездехода при решении различных задач.

Мотовездеход, который совмещает функции типовых самоходных машин в одном корпусе.";;;;4;;;;;;;2 цил. V-образный, 4 тактный жидкостного охлаждения;976;87;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;Двойные изогнутые А-образные рычаги со стабилизатором поперечной устойчивости;Газомаслянные;27*9/27*11;14;;;инжектор;848;двойной дисковый тормоз;;;;;;;;;;;;;48;3339*1782*1935;Объем грузового отсека 1077*1662*280 с грузоподъемностью 300 кг., трехместная версия кабины, электрический усилитель руля, приборная панель с основными показателями, лебедка с ситетическим тросом и тросукладчиком с усилием 2040 кг., усиленный передний и задний бампер, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Мотовездеходы AODES;Техника";Мотовездеход AODES DESERTCROSS 1000 3-HVAC;AODES;desertcross-1000-3HVAC;motovezdehody-aodes;2450000;;0;"motovezdehody-aodes\aodes-DESERTCROSS-3hvac.jpg; motovezdehody-aodes\aodes-DESERTCROSS-3hvac-2.jpg";976сс, 72 л.с., 3 местный;"Мотовездеходы AODES DESERTCROSS — это комфортные утилитарно-туристические машины с мощным двигателем 72 л.с. и высокой надежностью для туризма и работы по хозяйству.

В этой версии модель мотовездехода имеет все необходимое для комфортных путешествий и хозяйственных работ.

Мощный двигатель, энергоемкая подвеска, алюминиевые легкосплавные диски, лебедка с тяговым усилием 2040 кг, закрытая кабина с отопителем и кондиционером, багажная площадка самосвального типа с грузоподъемностью 300 кг, зеркала заднего вида и задний бампер — достоинства этого мотовездехода при решении различных задач.

Мотовездеход, который совмещает функции типовых самоходных машин в одном корпусе.";;;;4;;;;;;;2 цил. V-образный, 4 тактный жидкостного охлаждения;976;72;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;Двойные изогнутые А-образные рычаги со стабилизатором поперечной устойчивости;Газомаслянные;27*9/27*11;14;;;инжектор;865;двойной дисковый тормоз;;;;;;;;;;;;;48;3364*1870*1947;Объем грузового отсека 1077*1662*280 с грузоподъемностью 300 кг., трехместная версия кабины, кабина полностью закрытая, отопитель салона, кондиционер, откидывающиеся лобовое стекло на газлифтах, щетка очистки лобового стекла с омывателем, 2 колонки для мультимедии, электрический усилитель руля, приборная панель с основными показтелями, дополнительный мультимидиный дисплей, лебедка с ситетическим тросом и тросукладчиком с усилием 2040 кг., усиленный передний и задний бампер, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Мотовездеходы AODES;Техника";Мотовездеход AODES DESERTCROSS 1000 6-HVAC;AODES;desertcross-1000-6hvac;motovezdehody-aodes;2710000;;0;"motovezdehody-aodes\aodes-desertcross-6hvac.jpg; motovezdehody-aodes\aodes-desertcross-6hvac-2.jpg";976сс, 72 л.с., 6 местный;"Мотовездеходы AODES DESERTCROSS — это комфортные утилитарно-туристические машины с мощным двигателем 72 л.с. и высокой надежностью для туризма и работы по хозяйству.

В этой версии модель мотовездехода имеет все необходимое для комфортных путешествий и хозяйственных работ.

Мощный двигатель, энергоемкая подвеска, алюминиевые легкосплавные диски, лебедка с тяговым усилием 2040 кг, закрытая кабина с отопителем и кондиционером, багажная площадка самосвального типа с грузоподъемностью 300 кг, зеркала заднего вида и задний бампер — достоинства этого мотовездехода при решении различных задач.

Мотовездеход, который совмещает функции типовых самоходных машин в одном корпусе.";;;;4;;;;;;;2 цил. V-образный, 4 тактный жидкостного охлаждения;976;72;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;Двойные изогнутые А-образные рычаги со стабилизатором поперечной устойчивости;Газомаслянные;27*9/27*11;14;;;инжектор;1060;двойной дисковый тормоз;;;;;;;;;;;;;48;4164*1870*1947;Объем грузового отсека 1077*1662*280 с грузоподъемностью 300 кг., шестиместная версия кабины, кабина полностью закрытая, отопитель салона, кондиционер, откидывающиеся лобовое стекло на газлифтах, 2 колонки для мультимедии, электрический усилитель руля, приборная панель с основными показтелями, дополнительный мультимидиный дисплей, лебедка с ситетическим тросом и тросукладчиком с усилием 2040 кг., усиленный передний и задний бампер, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT5 LE;SEGWAY;snarler-at5-le;kvadrocikly-segway;830000;;0;"kvadrocikly-segway\snarler-at5-long-standart-gray-blue.jpg; kvadrocikly-segway\snarler-at5-long-standart-black-camo.jpg; kvadrocikly-segway\snarler-at5-long-standart-black-green.jpg; kvadrocikly-segway\snarler-at5-long-standart-black-orange.jpg; kvadrocikly-segway\snarler-at5-long-standart-white-red.jpg";499сс, 39 л.с.,;"SEGWAY AT5 LE - универсальный квадроцикл с длинной колесной базой, сочетающий в себе мощность и проходимость. Он оснащен мощной лебедкой, защитными кожухами руля для дополнительной безопасности, а также передними и задними пластиковыми крышками багажников. Откройте для себя новый уровень производительности и комфорта - AT5 LE - ваш идеальный выбор!
";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;499;39;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";Двойные A-образные рычаги, ход 180 мм;Двойные A-образные рычаги + стабилизатор поперечной устойчивости, ход 200 мм;Масляные амортизаторы с регулировкой сжатия и отбоя;25*8/25*10;12;;;инжектор;389;Гидравлическая, 3-дисковая;;;;;;;;;;;;;19;2300*1180*1350;Электронный усилитель руля, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 2500 фунтов, светодиодная оптика, пластиковая защита рук, пластиковые накладки на передний и задние багажники, спинка заднего пассажира, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT6 LE;SEGWAY;snarler-at6-le;kvadrocikly-segway;925000;;0;"kvadrocikly-segway\segway-at6-l.jpg; kvadrocikly-segway\segway-at6-l-2.jpg; kvadrocikly-segway\segway-at6-l-3.jpg; kvadrocikly-segway\segway-at6-l-4.jpg; kvadrocikly-segway\segway-at6-l-5.jpg; kvadrocikly-segway\segway-at6-l-6.jpg; kvadrocikly-segway\segway-at6-l-7.jpg; kvadrocikly-segway\segway-at6-l-8.jpg; kvadrocikly-segway\segway-at6-l-9.jpg; kvadrocikly-segway\segway-at6-l-10.jpg; kvadrocikly-segway\segway-at6-l-11.jpg; kvadrocikly-segway\segway-at6-l-12.jpg        ";570сс, 44 л.с.,;Неудержимый механический зверь. Крепкое тело и завораживающие линии. Запоминающийся визуальный стиль, контрастные цвета рамы и кузова создают эстетику контролируемого напряжения.;;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;567;44;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";Двойные A-образные рычаги, ход 180 мм;Двойные A-образные рычаги + стабилизатор поперечной устойчивости, ход 200 мм;Масляные амортизаторы с регулировкой сжатия и отбоя;26*8/26*10;14;;;инжектор;399;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;23;2340*1280*1430;Электронный усилитель руля, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 2500 фунтов, светодиодная оптика, пластиковая защита рук, пластиковые накладки на передний и задние багажники, спинка заднего пассажира, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT10 LE;SEGWAY;snarler-at10-le;kvadrocikly-segway;1080000;;0;"kvadrocikly-segway\segway-at10-l-1.jpg; kvadrocikly-segway\segway-at10-l.jpg; kvadrocikly-segway\segway-at10-l-3.jpg; kvadrocikly-segway\segway-at10-l-4.jpg; kvadrocikly-segway\segway-at10-l-7.jpg; kvadrocikly-segway\segway-at10-l-8.jpg";999сс, 97 л.с.,;"НОВИНКА 2025 г., литровый рядный мотор, мощность, проходимость!
Неудержимый механический зверь. Запоминающийся визуальный стиль, контрастные цвета рамы и кузова создают эстетику контролируемого напряжения.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;97;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг, ход: 185 мм.;Двойной А-образный рычаг, ход: 210 мм.;Газовые амортизаторы с регулировкой сжатия и отбоя и выносными резервуарами;27*9/27*11;14;;;инжектор;495;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;23;2410*1259*1452;Электронный усилитель руля, обогрев ручек и курка газа, 2 режима работы ДВС, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 2500 фунтов, светодиодная оптика + галоген, пластиковая защита рук, пластиковые накладки на передний и задние багажники,пассажирское сиденье, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT10 LX;SEGWAY;snarler-at10-lx;kvadrocikly-segway;1190000;;0;kvadrocikly-segway\segway-at10-l-1.jpg;999сс, 97 л.с.,;"НОВИНКА 2025 г., литровый рядный мотор, мощность, проходимость!
Неудержимый механический зверь. Глаза LED-фары, крепкое тело и завораживающие линии. Запоминающийся визуальный стиль, контрастные цвета рамы и кузова создают эстетику контролируемого напряжения.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;97;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг, ход: 185 мм.;Двойной А-образный рычаг, ход: 210 мм.;Газовые амортизаторы с регулировкой сжатия и отбоя и выносными резервуарами;27*9/27*11;14;;;инжектор;518;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;23;2410*1259*1452;Электронный усилитель руля, обогрев ручек и курка газа, 2 режима работы ДВС, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пластиковая защита рук, пластиковые накладки на передний и задние багажники,пассажирское сиденье, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT10 LX W ;SEGWAY;snarler-at10-lxw;kvadrocikly-segway;1330000;;0;kvadrocikly-segway\segway-at10-w.jpg;999сс, 97 л.с.,;"НОВИНКА 2025 г.! Квинтэссенция мощности, брутальности и проходимости. 
Kитровый рядный мотор, мощность, проходимость!
Неудержимый механический зверь. Глаза LED-фары, крепкое тело и завораживающие линии. Запоминающийся визуальный стиль, контрастные цвета рамы и кузова создают эстетику контролируемого напряжения.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;97;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг, ход: 185 мм.;Двойной А-образный рычаг, ход: 210 мм.;Газовые амортизаторы с регулировкой сжатия и отбоя и выносными резервуарами;30*10/30*10;14;;;инжектор;549;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;23;2429*1489*1530;Электронный усилитель руля, обогрев ручек и курка газа, 2 режима работы ДВС, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пластиковая защита рук, пластиковые накладки на передний и задние багажники,пассажирское сиденье, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Квадроциклы SEGWAY;Техника";Квадроцикл SEGWAY SNARLER AT10 LXW MUD;SEGWAY;snarler-at10-lxw-mud;kvadrocikly-segway;1475000;;0;"kvadrocikly-segway\SEGWAY-AT10-LXW-red-graw.jpg; kvadrocikly-segway\SEGWAY-AT10-LXW-black-matt-black.jpg; kvadrocikly-segway\SEGWAY-AT10-LXW-red-white.jpg";999сс, 97 л.с.,;"НОВИНКА 2025 г.! Квинтэссенция мощности, брутальности и проходимости. 
Kитровый рядный мотор, мощность, проходимость!
Неудержимый механический зверь. Глаза LED-фары, крепкое тело и завораживающие линии. Запоминающийся визуальный стиль, контрастные цвета рамы и кузова создают эстетику контролируемого напряжения.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;97;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг, ход: 185 мм.;Двойной А-образный рычаг, ход: 210 мм.;Газовые амортизаторы с регулировкой сжатия и отбоя и выносными резервуарами;30*10/30*10;14;;;инжектор;549;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;23;2429*1489*1530;Вынос радиатора, шноркеля, электронный усилитель руля, обогрев ручек и курка газа, 2 режима работы ДВС, передняя багажная решетка 40 кг, задняя багажная решетка 60 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пластиковая защита рук, пластиковые накладки на передний и задние багажники,пассажирское сиденье, поручни для заднего пассажирка.;2 года
"Квадроциклы>>>Мотовездеходы SEGWAY;Техника";Мотовездеход SEGWAY VILLAIN SX10 WIDE;SEGWAY;villain-sx10-wide;motovezdehody-segway;2625000;;0;"motovezdehody-segway\segway-villain-sx10-7.jpg; motovezdehody-segway\segway-villain-sx10-2.jpg; motovezdehody-segway\segway-villain-sx10-3.jpg; motovezdehody-segway\segway-villain-sx10-4.jpg; motovezdehody-segway\segway-villain-sx10-5.jpg; motovezdehody-segway\segway-villain-sx10-6.jpg; motovezdehody-segway\segway-villain-sx10.jpg; motovezdehody-segway\segway-villain-sx10-8.jpg";1000cc, 105 л.с.;"Багги от Segway не останется не замеченной

""Нет места страху"" на Villian SX10X Запредельные возможности в сочетании с современным, аэродинамическим дизайном. Как будто из фильмов о Бонде, Villian сочетает агрессивную мощь и стиль благодаря современному двигателю и настраиваемым характеристикам. Выносные бачки передних и задних амортизаторов с регулировкой преднатяга и отбоя покорят любое бездорожье с любым пилотом за рулем и не так важно будет ли это гонка по пляжу, песчаным дюнам или скоростной прохват. 30 дюймовые покрышки шириной 8 дюймов более широки, чем установленные на модель SX10 Экстремальные возможности

Выносные бачки передних и задних амортизаторов с 2х скоростной регулировкой сжатия и отбоя. Двойные A образные рычаги с ходом 400 мм спереди и 450 мм сзади превращают Segway Villian SX10 в спортивный внедорожный болид. Комплектация SX10Х включает в себя диски с наружным бэдлоком, что добавит вам увенности и проходимости на любом типе грунта. С регулировкой руля в нескольких направлениях и настраиваемым под пилота сиденьем вы всегда имеете под рукой тачскрин с необходимыми параметрами и можете получить любую информацию с одного взгляда.
";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;105;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг со стабилизатором поперечной устойчивости, ход 410 мм.;Многорычажная со стабилизатором поперечной устойчивости, ход 460 мм.;Газовые амортизаторы с регулируемой нагрузкой пружины;30*10/30*10;14;;;инжектор;902;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;40;3380*1850*1850;Электронный усилитель руля, задняя багажная решетка 90 кг, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пассажирское сиденье, поручни для заднего пассажира.;2 года
"Квадроциклы>>>Мотовездеходы SEGWAY;Техника";Мотовездеход SEGWAY SUPER VILLAIN SX20T;SEGWAY;villain-sx20-t;motovezdehody-segway;4500000;;0;"motovezdehody-segway\SEGWAY-Super-Villain-SX20-black.jpg; motovezdehody-segway\SEGWAY-Super-Villain-SX20-reg-white.jpg";2000cc turbo, 235 л.с.;Самый мощный SSV в линейке SEGWAY 2 литра, 4 цилиндра, турбонаддув, больше 200 л.с., высокий крутящий момент. Багги SEGWAY SX20  - для настоящих экстремалов!;;;;4;;;;;;;4 цил. Рядный турбированный 4 тактный с жидкостным охлаждением;2000;235;Автоматическая 7 передач;D/N/R/P, а также подруливые D/M/S, 2WD/4WD + блокировка переднего дифференциала;Двойной А-образный рычаг со стабилизатором поперечной устойчивости, ход 510 мм;Многорычажная со стабилизатором поперечной устойчивости, ход 530 мм;Газовые амортизаторы KMAN с регулируемой нагрузкой пружины;32*10/32*10;15;;;инжектор;1260;Дисковые гидравлические на все колёса. Передние: 3 поршня, Задние: 2 поршня;;;;;;;;;;;;;45;3560*1932*1873;Электронный усилитель руля, задняя багажная решетка 136 кг, цифровой дисплей, 3 режима работы ДВС, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пассажирское сиденье, поручни для заднего пассажира.;2 года
"Квадроциклы>>>Мотовездеходы SEGWAY;Техника";Мотовездеход SEGWAY FUGLEMAN UT10 X;SEGWAY;fugleman-ut10-x;motovezdehody-segway;2035000;;0;"motovezdehody-segway\segway-fugleman-ut10.jpg; motovezdehody-segway\segway-fugleman-ut10-2.jpg; motovezdehody-segway\segway-fugleman-ut10-3.jpg; motovezdehody-segway\segway-fugleman-ut10-4.jpg; motovezdehody-segway\segway-fugleman-ut10-5.jpg; motovezdehody-segway\segway-fugleman-ut10-6.jpg; motovezdehody-segway\segway-fugleman-ut10-7.jpg    ";1000cc, 105 л.с.;"Брутальный и крепкий! Нет такой задачи, которая была бы не по плечу Fugleman UT10! 3 великолепных цвета : белый черный и серый с контрастными цветами бампера.
Динамичный, практичный UTV - прекрасная альтернатива квадроциклам в загородной жизни. Он поможет изменить то, как вы работаете в деревне или на ферме. Мощная и надежная машина все в одном сочетает современные технологии и загородную брутальность для облегчения вашего быта, которая справится с любой тяжелой задачей по перевозке грузов и доставке вас в любую выбранную локацию. Раздвинь границы привычного и открой для себя новые подходы к работе вместе с Fugleman UT10.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;105;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Масляные амортизаторы с регулируемой нагрузкой пружины;27*9/27*11;14;;;инжектор;840;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;45;3100*1625*200;Электронный усилитель руля, задняя багажная платформа 250 кг, 3 местная кабина открытого типа, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пассажирское сиденье, поручни для заднего пассажира.;2 года
"Квадроциклы>>>Мотовездеходы SEGWAY;Техника";Мотовездеход SEGWAY FUGLEMAN UT10 CREW STANDART;SEGWAY;fugleman-ut10-crew-standart;motovezdehody-segway;2330000;;0;"motovezdehody-segway\segway-fugleman-ut10-crew-3.jpg; motovezdehody-segway\segway-fugleman-ut10-crew-2.jpg; motovezdehody-segway\segway-fugleman-ut10-crew-4.jpg; motovezdehody-segway\segway-fugleman-ut10-crew-5.jpg; motovezdehody-segway\segway-fugleman-ut10-crew-6.jpg; motovezdehody-segway\segway-fugleman-ut10-crew-7.jpg";1000cc, 105 л.с.;"SEGWAY Fugleman UT10 Crew — мощный UTV, с вместимостью до 6 пассажиров и большим свободным пространством для ног. Оснащенный двигателем DOHC объемом 1000 см3, UT10 Crew способен перевозить пассажиров и большое количество полезных грузов. Превосходные возможности буксировки и транспортировки делают любую работу с Fugleman UT10 Crew проще и эффективнее. Просторная кабина

В салоне с комфортом помещается до 6 пассажиров, с большим пространством для ног. Места хранения под сиденьем

Под правым пассажирским сиденьем расположены два вещевых ящика емкостью 5,5 галлонов.
Регулируемый электроусилитель руля (EPS)

Отличная стабилизация техники, поворот колеса без усилий. Легкая настройка трёх режимов (Комфорт/Стандарт/Спорт) через приложение. Интеллектуальная система, обеспечивающая отличную управляемость и безопасность.
Передняя и задняя блокировка дифференциала

Возможность выбора режимов 2WD/4WD/TURF с блокировкой заднего дифференциала, для максимального увеличения тяги всех четырех колес.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;105;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Масляные амортизаторы с регулируемой нагрузкой пружины;27*9/27*11;14;;;инжектор;930;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;45;3975*1600*1920;Электронный усилитель руля, задняя багажная платформа 250 кг, 6 местная кабина открытого типа, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пассажирское сиденье, поручни для заднего пассажира.;2 года
"Квадроциклы>>>Мотовездеходы SEGWAY;Техника";Мотовездеход SEGWAY FUGLEMAN UT10 CREW PREMIUM;SEGWAY;fugleman-ut10-crew-premium;motovezdehody-segway;2520000;;0;motovezdehody-segway\segway-fugleman-ut10-crew.jpg;1000cc, 105 л.с.;"SEGWAY Fugleman UT10 Crew — мощный UTV, с вместимостью до 6 пассажиров и большим свободным пространством для ног. Оснащенный двигателем DOHC объемом 1000 см3, UT10 Crew способен перевозить пассажиров и большое количество полезных грузов. Превосходные возможности буксировки и транспортировки делают любую работу с Fugleman UT10 Crew проще и эффективнее. Просторная кабина

В салоне с комфортом помещается до 6 пассажиров, с большим пространством для ног. Места хранения под сиденьем

Под правым пассажирским сиденьем расположены два вещевых ящика емкостью 5,5 галлонов.
Регулируемый электроусилитель руля (EPS)

Отличная стабилизация техники, поворот колеса без усилий. Легкая настройка трёх режимов (Комфорт/Стандарт/Спорт) через приложение. Интеллектуальная система, обеспечивающая отличную управляемость и безопасность.
Передняя и задняя блокировка дифференциала

Возможность выбора режимов 2WD/4WD/TURF с блокировкой заднего дифференциала, для максимального увеличения тяги всех четырех колес.";;;;4;;;;;;;2 цил. Рядный 4 тактный с жидкостным охлаждением;999;105;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала, возможнсоть разблокировки заднего дифференциала";Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Двойной А-образный рычаг со стабилизатором поперечной устойчивости;Масляные амортизаторы с регулируемой нагрузкой пружины;27*9/27*11;14;;;инжектор;930;Гидравлическая, дисковая, на каждом колесе;;;;;;;;;;;;;45;3975*1600*1920;Электронный усилитель руля, задняя багажная платформа 250 кг, 6 местная кабина открытого типа с дверьми, цифровой дисплей, приложенгие Smart-moving,  лебедка с усилием 4500 фунтов, светодиодная оптика, пассажирское сиденье, поручни для заднего пассажира.;2 года
"Квадроциклы>>>Квадроциклы STELS;Техника";"Квадроцикл STELS ATV 650 GUEPARD TE 2.0 - 27"" КАМА, 6*12/7.5*12, CVTech";STELS;stels-650G-te;kvadrocikly-stels;1050000;;0;kvadrocikly-stels\STELS-ATV-GUEPARD-650-TE-oak-camo-kama.jpg;52 л.с., 650 куб. см.;"STELS GUEAPRD 2.0 пошел в серию. Обновленная модель. Больше проходимости, больше эмоций и впечатлений, больше качественных изменений для потребителей.
STELS GUEPARD 650 не оставит в вашем календаре выходных без ""покатушек"", квадропутешествий и выездов выходного дня.
Формула этого квадроцикла очень проста:
2 цилиндра + четкий отклик курка газа + высокий клиренс 31см + пассажирское сиденье + комфортная подвеска и управляемость = те самые дни проведенные с STELS GUEPARD 650, которые захочется повторить.";;;;4;;;;;;;2 цил. V-образный, 4 тактный жидкостного охлаждения;650;52;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";Независимая, 2-х рычажная, с пружинно-гидравлическим амортизатором;Независимая, 2-х рычажная, с пружинно-гидравлическим амортизатором;газомаслянные;27*10/27*10 Кама;12;;;инжектор;452;Дисковая гидравлическая;;;;;;;;;;;;;30;2390*1350*1557;Электронный усилитель руля, передняя багажная решетка 25 кг, задняя багажная решетка 60 кг, цифровой дисплей, лебедка с усилием 1500 кг., светодиодная оптика, пластиковая защита рук, зеркала заднего вида, пассажирское сиденье, защита днища, силовой передний и задний бампер.;2 года
"Квадроциклы>>>Квадроциклы STELS;Техника";Квадроцикл STELS ATV 800G GUEPARD TE 2.0 - ОБЪЕКТ K01;STELS;stels-800G-object-k01;kvadrocikly-stels;970000;;0;kvadrocikly-stels\STELS-800-GUEPARD-LT-gray-kama.jpg;67 л.с., 800 куб. см.;"STELS GUEAPRD 2.0 пошел в серию. Обновленная модель. Больше проходимости, больше эмоций и впечатлений, больше качественных изменений для потребителей.
STELS GUEPARD 800 не оставит в вашем календаре выходных без ""покатушек"", квадропутешествий и выездов выходного дня.
Формула этого квадроцикла очень проста:
2 цилиндра + четкий отклик курка газа + высокий клиренс 31см + пассажирское сиденье + комфортная подвеска и управляемость = те самые дни проведенные с STELS GUEPARD 800, которые захочется повторить.";;;;4;;;;;;;2 цил. V-образный, 4 тактный жидкостного охлаждения;800;67;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";Независимая, 2-х рычажная, с пружинно-гидравлическим амортизатором;Независимая, 2-х рычажная, с пружинно-гидравлическим амортизатором;газомаслянные;28*10/28*10 КАМА;14;;;инжектор;426;Дисковая гидравлическая;;;;;;;;;;;;;30;2390*1350*1545;Задняя багажная решетка 60 кг, цифровой дисплей, лебедка с усилием 3500 фунтов, светодиодная оптика, пластиковая защита рук, зеркала заднего вида, фаркоп.;2 года
